id,name,slug,description,base_price_cents,category_id,sku,is_active
6774aa0c-f797-4a77-bc08-f0bc884a6205,"Skye Recycled 15"" Computer Backpack",skye-recycled-15-computer-backpack-6774,"Imported product: Skye Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-F224568F,true
e20847d5-c88b-4d28-869a-16b9b73fc51b,The Goods Recycled 36 Can Flip Top Cooler,the-goods-recycled-36-can-flip-top-cooler-e208,Imported product: The Goods Recycled 36 Can Flip Top Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-187F10BB,true
6669cc73-e375-4665-a569-1f93895ac90a,The Goods Recycled Wheeled Duffel Bag,the-goods-recycled-wheeled-duffel-bag-6669,Imported product: The Goods Recycled Wheeled Duffel Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-156DC3E3,true
24894a12-537f-4883-a71b-21d025ac5544,"The Goods Recycled Work Anywhere 14"" Computer Tote Bag",the-goods-recycled-work-anywhere-14-computer-tote-bag-2489,"Imported product: The Goods Recycled Work Anywhere 14"" Computer Tote Bag",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-F2F93DF7,true
924f11d4-46c7-4ed4-9ab0-9acf4f568556,"The Goods Recycled 17"" Computer Backpack",the-goods-recycled-17-computer-backpack-924f,"Imported product: The Goods Recycled 17"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-9856605B,true
5f3784ff-7cb8-43e7-bcab-dbe87b7c0b29,"The Goods Recycled 15"" Computer Backpack",the-goods-recycled-15-computer-backpack-5f37,"Imported product: The Goods Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-7AABD14E,true
c84a0dc9-cc9b-4dbc-93f0-63f34533ea69,Essentials Recycled Insulated Crossbody Sling Bag,essentials-recycled-insulated-crossbody-sling-bag-c84a,Imported product: Essentials Recycled Insulated Crossbody Sling Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-AB7C5A76,true
ad0ccaa2-d867-46df-8a1b-b413b30f2560,Vila Recycled 24 Can Event Cooler,vila-recycled-24-can-event-cooler-ad0c,Imported product: Vila Recycled 24 Can Event Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-0213E65F,true
5a5e907d-717a-42ad-a38d-b41e5f3e7231,The Goods Recycled 9 Can Lunch Cooler,the-goods-recycled-9-can-lunch-cooler-5a5e,Imported product: The Goods Recycled 9 Can Lunch Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-61F96B46,true
4061fa18-03a1-4efe-b7de-7fcfa4d3101d,Recycled Insulated Crossbody Bottle Bag,recycled-insulated-crossbody-bottle-bag-4061,Imported product: Recycled Insulated Crossbody Bottle Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-6D606C60,true
37f31b3d-c4af-4f5c-a980-f55777a3455b,Full Color Recycled Neck Wrap Cooling Towel,full-color-recycled-neck-wrap-cooling-towel-37f3,Imported product: Full Color Recycled Neck Wrap Cooling Towel,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-2354F331,true
33dfdb7a-10f6-428b-8cc6-ad147b8c707d,Vila Recycled Travel Organizer Pouch,vila-recycled-travel-organizer-pouch-33df,Imported product: Vila Recycled Travel Organizer Pouch,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-52DCA212,true
